title,url,brand,line,size,box_qty,price,in_stock
"El Gueguense Maduro Churchill (7.0"""" x 48)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Ffoundation-cigars%2Fel-gueguense-maduro%2FFCG-PM.html,El Gueguense,"""El Gueguense Maduro","7.0"" x 48",20,263.99,False
"Ashton Cigars Corona (5.5"""" x 44)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-cigars%2FAHA-PM.html,Ashton,"""Ashton Cigars","5.5"" x 44",20,263.99,False
"Illusione Fume D'Amour Clementes (6.5"""" x 48)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fillusione%2Fillusione-fume-d%27amour%2FILE-PM.html,Illusione,"""Illusione Fume D'Amour Clementes","6.5"" x 48",20,263.99,False
"El Gueguense Churchill (7.0"""" x 48)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Ffoundation-cigars%2Fel-gueguense%2FFCC-PM.html,El Gueguense,"""El Gueguense","7.0"" x 48",20,263.99,False
"Viaje Pina Makana (6.0"""" x 52)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fviaje-cigars%2Fviaje-pina%2FVJ6-PM-1001.html,Viaje,"""Viaje Pina Makana","6.0"" x 52",20,264.0,False
"Padron Serie 1926 No. 48 (5.5"""" x 60) - Natural",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fpadron%2Fpadron-1926-series%2FK9D-PM.html,Padron,"""Padron Serie 1926 No. 48","5.5"" x 60",20,264.0,False
"ADVentura The Royal Return King's Gold Corona (6.0"""" x 44)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fadventura-cigars%2Fadventura-the-royal-return-king%27s-gold%2FAD4-PM.html,ADVentura,"""ADVentura The Royal Return King's Gold","6.0"" x 44",20,264.6,False
"Aganorsa Leaf Signature Maduro Corona Gorda (6.0"""" x 44)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Faganorsa%2Faganorsa-leaf-signature-selection-maduro%2FCF1-PM.html,Aganorsa Leaf,"""Aganorsa Leaf Signature Maduro","6.0"" x 44",20,264.99,False
"RoMa Craft CroMagnon Aquitaine Cranium Gran Toro (6.0"""" x 54)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froma-craft%2Froma-craft-cromagnon-aquitaine%2FRC2-PM.html,RoMa Craft Tabac,"""RoMa Craft CroMagnon Aquitaine Cranium","6.0"" x 54",20,264.99,False
"Davidoff Winston Churchill Gran Toro (LE 2016) (6.0"""" x 56)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdavidoff%2Fdavidoff-winston-churchill%2FDVT-PM.html,Davidoff,"""Davidoff Winston","6.0"" x 56",20,264.99,False
