title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Montecristo Platinum Toro Sumatra - Pack of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmonetcristo-platnium-toro-pack-of-10%2F2026716%2F%23p-185956,Montecristo,Platinum,Mexican San Andres,Toro,6.0 x 50.0,27,144.99,True
CAO Pilon Robusto Habano - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-pilon-robusto-habano%2F92546%2F%23p-185599,CAO,Pilon,Ecuadorian Habano,Robusto,5.0 x 50.0,20,144.99,True
Rocky Patel The Edge Maduro Robusto - Box of 20,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-the-edge-maduro-robusto%2F2027195%2F%23p-2009812,Rocky Patel,The Edge Maduro,Costa Rican Maduro,Robusto,5.5 x 50.0,20,148.99,True
Rocky Patel The Edge Corojo Robusto - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frock-patel-the-edge-corojo-robusto%2F2027192%2F%23p-2009323,Rocky Patel,The Edge Corojo,Honduran Corojo,Robusto,5.0 x 50.0,20,148.99,True
Macanudo Inspirado White Churchill Connecticut - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-white-churchill-connecticut-box-of-20%2F2034055%2F%23p-192242,Macanudo,Inspirado White,Ecuadorian Connecticut,Churchill,7.0 x 48.0,20,148.99,True
Macanudo Inspirado Orange Churchill - Box of 20,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-orange-churchill-honduran%2F96876%2F%23p-2035300,Macanudo,Inspirado Orange,Ecuadorian Habano,Churchill,7.0 x 48.0,20,148.99,True
CAO Pilon Toro - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-pilon-toro-habano%2F93824%2F%23p-2035067,CAO,Pilon,Ecuadorian Habano,Toro,6.0 x 52.0,20,149.99,True
Oliva Serie 'V' Melanio - Box of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-melanio-toro-sumatra-cigar%2F2053791%2F%23p-2052251,Oliva,Serie V Melanio,Ecuadorian Sumatra,Petit Corona,4.5 x 50.0,10,149.99,True
Jaime Garcia Reserva Especial - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fjaime-garcia-reserva-especial-corona-grande-maduro%2F2050545%2F%23p-2050446,My Father,Jaime Garcia Reserva Especial,Nicaraguan Habano,Petit Robusto,4.5 x 50.0,20,149.99,True
Alec Bradley Prensado Gran Toro Corojo - Pack of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-prensado-gran-toro-corojo%2F94989%2F%23p-187412,Alec Bradley,Prensado,Honduran Corojo,Gran Toro,6.0 x 60.0,20,149.99,True
CAO Pilon Anejo Robusto - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-pilon-anejo-robusto-cigars%2F2039486%2F%23p-2039481,CAO,Pilon Anejo,Nicaraguan Habano,Robusto,5.0 x 50.0,20,151.99,True
CAO Mx2 Robusto Maduro - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-mx2-robusto-maduro-premium-cigar%2F73110%2F%23p-163614,CAO,MX2,Brazilian Maduro,Robusto,5.0 x 50.0,20,151.99,True
CAO Zocalo Robusto - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-zocalo-robusto%2F2035168%2F%23p-2035161,CAO,Zocalo,Mexican San Andres,Robusto,5.0 x 50.0,20,151.99,True
CAO Pilon Anejo Toro - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-pilon-anejo-toro-cigars%2F2039487%2F%23p-2039483,CAO,Pilon Anejo,Nicaraguan Habano,Toro,6.0 x 52.0,20,153.99,True
Rocky Patel The Edge Habano Toro - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-the-edge-habano-toro%2F2028873%2F%23p-2028869,Rocky Patel,The Edge Habano,Nicaraguan Habano,Toro,6.0 x 52.0,20,153.99,True
Jaime Garcia Reserva Especial Petit Robusto Maduro Petite Robusto - Box of 20,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fjaime-garcia-reserva-especial-petit-robusto-maduro%2F79772%2F%23p-172349,My Father,Jaime Garcia Reserva Especial,Nicaraguan Habano,Robusto,5.0 x 50.0,20,153.99,True
CAO Gold Double Corona Connecticut - Box of 20,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-gold-double-corona-connecticut-box-of-20%2F2033506%2F%23p-141488,CAO,Gold,Ecuadorian Connecticut,Double Corona,7.5 x 54.0,20,156.99,True
Montecristo Nicaragua Toro Pack of 10 - Pack of 10,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmontecristo-nicaragua-toro-pack-of-10%2F2025915%2F%23p-2025914,Montecristo,Nicaragua,Nicaraguan Habano,Toro,6.0 x 52.0,20,156.99,True
Alec Bradley American Classic Blend - BOX 24,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-american-classic-blend-cigar%2F2037780%2F%23p-2037757,Alec Bradley,American Classic Blend,Ecuadorian Connecticut,Robusto,5.0 x 50.0,20,157.99,True
Ashton Symmetry Robusto Habano - Pack of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-symmetry-robusto-habano%2F91761%2F%23p-184768,Ashton,Symmetry,Ecuadorian Habano,Robusto,5.0 x 50.0,20,158.99,True
Macanudo Inspirado Black Churchill Maduro - Box of 20,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-black-churchill-maduro-box-of-20%2F2050232%2F%23p-192243,Macanudo,Inspirado Black,Connecticut Broadleaf,Churchill,7.0 x 48.0,20,159.99,True
Macanudo Inspirado Black Toro Maduro - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-black-toro-maduro%2F98827%2F%23p-192247,Macanudo,Inspirado Black,Connecticut Broadleaf,Toro,6.0 x 50.0,20,159.99,True
Romeo y Julieta Reserva Real Churchill - Pack of 15,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-reserve-real-churchill%2F98260%2F%23p-2006771,Romeo y Julieta,Reserva Real,Ecuador Connecticut,Churchill,7.0 x 50.0,25,163.99,True
CAO Mx2 Toro Maduro - Box of 20,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-mx2-toro-maduro%2F68432%2F%23p-142163,CAO,MX2,Brazilian Maduro,Toro,6.0 x 52.0,20,163.99,True
Arturo Fuente Hemingway Short Story Cameroon - Box of 25,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Farturo-fuente-hemingway-short-story-perfecto-cameroon%2F73670%2F%23p-143939,Arturo Fuente,Hemingway,Cameroon,Short Story,4.0 x 49.0,25,169.43,True
Jaime Garcia Reserva Especial Belicoso Maduro - Box of 20,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fjaime-garcia-reserva-especial-belicoso-maduro%2F79773%2F%23p-172350,My Father,Jaime Garcia Reserva Especial,Nicaraguan Habano,Belicoso,6.0 x 52.0,20,169.99,True
CAO Mx2 Gordo Maduro - Box of 20,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-mx2-gordo-maduro%2F68434%2F%23p-142165,CAO,MX2,Brazilian Maduro,Gordo,6.0 x 60.0,20,169.99,True
Macanudo Cru Royale Toro Habano - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-cru-royale-toro-habano-box-of-20-cigars%2F2051213%2F%23p-174819,Macanudo,Cru Royale,Brazilian Arapiraca,Toro,6.0 x 52.0,20,191.99,True
Montecristo Epic Churchill Habano - Box of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmontecristo-epic-churchill-habano%2F87745%2F%23p-180642,Montecristo,Epic,Ecuadorian Habano,Churchill,7.0 x 54.0,20,191.99,True
Rocky Patel Sun Grown Maduro Toro Maduro - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-sun-grown-maduro-toro-maduro%2F93234%2F%23p-186178,Rocky Patel,Sun Grown Maduro,Ecuadorian Maduro,Toro,6.0 x 52.0,20,207.99,True
La Aroma De Cuba Mi Amor Box Pressed Maduro Robusto - Box of 25,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-aroma-de-cuba-mi-amor-robusto-box-pressed-maduro%2F82079%2F%23p-174660,La Aroma de Cuba,Mi Amor,Mexican San Andres,Robusto,5.0 x 50.0,25,219.99,True
Romeo By Romeo y Julieta Robusto Habano - Box of 20,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-by-romeo-y-julieta-robusto-habano%2F87751%2F%23p-180648,Romeo y Julieta,Romeo by Romeo y Julieta,Ecuador Habano,Robusto,5.0 x 50.0,25,224.99,True
Rocky Patel Decade Lonsdale Sumatra - Box of 20,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-decade-lonsdale-sumatra-box-of-20%2F2031861%2F%23p-178407,Rocky Patel,Decade,Ecuadorian Sumatra,Lonsdale,6.5 x 44.0,20,233.99,True
