brand,title,box_qty,price,url
San Cristobal,San Cristobal Revelation Sumatra - Box of 24,24,237.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fsan-cristobal-revelation-legend-sumatra%2F89927%2F%23p-182768
Fratello,Fratello Classico - Pack of 20,20,195.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-classico-toro-pack-of-20-cigars%2F2058466%2F%23p-2058467
Fratello,Fratello Oro - Pack of 20,20,214.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-oro-robusto-pack-of-20-cigars%2F2058464%2F%23p-2058465
E.P. Carrillo,E. P. Carrillo Essence Honduras - Box of 24 - Robusto,24,199.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fep-carrillo-essence-honduras-cigar%2F2058441%2F%23p-2058442
E.P. Carrillo,E. P. Carrillo Essence Honduras - Box of 24 - Toro,24,216.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fep-carrillo-essence-honduras-cigar%2F2058441%2F%23p-2058445
E.P. Carrillo,E. P. Carrillo Essence Honduras - Box of 24 - Gordo,24,232.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fep-carrillo-essence-honduras-cigar%2F2058441%2F%23p-2058448
RoMa Craft Tabac,RoMa Craft Whiskey Rebellion - Box of 24,24,212.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Froma-craft-intemperance-whiskey-rebellion-1794-cigar%2F2056099%2F%23p-2056087
RoMa Craft Tabac,RoMa Craft Whiskey Rebellion - Box of 24,24,243.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Froma-craft-intemperance-whiskey-rebellion-1794-cigar%2F2056099%2F%23p-2056089
RoMa Craft Tabac,RoMa Craft Whiskey Rebellion - Box of 30,30,222.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Froma-craft-intemperance-whiskey-rebellion-1794-cigar%2F2056099%2F%23p-2056091
RoMa Craft Tabac,RoMa Craft Whiskey Rebellion - Box of 24,24,237.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Froma-craft-intemperance-whiskey-rebellion-1794-cigar%2F2056099%2F%23p-2056093
