retailer,url,name,price,brand,line,vitola,wrapper,ring_gauge,length,availability,platform,tier,brand_source,scraped_at
Fox Cigar,https://foxcigar.com/shop/accessories/s-t-dupont-li-necklace-lighter-silver/,S.T. Dupont Li Necklace Lighter Silver – K27066CH,395.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:07:08.367989
Fox Cigar,https://foxcigar.com/shop/cigars/camacho/scorpion-unleashed-ashtray-kit/,Scorpion Unleashed Ashtray Kit,81.45,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:10.619003
Fox Cigar,https://foxcigar.com/shop/accessories/lighters/st-dupont/s-t-dupont-slim-7-fluo-bleu/,S.T. Dupont Slim 7 Fluo Bleu – 027771,245.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:07:13.075850
Fox Cigar,https://foxcigar.com/shop/cigars/curivari/curivari-seleccion-privada-maduro-magnificos/,Curivari Seleccion Privada Maduro Magnificos,9.5,Liga Privada,,Unknown,Maduro,,,Out of Stock,WooCommerce,1,fuzzy_priority,2025-10-26T20:07:15.608179
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/the-forbidden-love-affair-kit/,The Forbidden Love Affair Kit,129.99,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:17.947395
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/serie-b-robusto/,God of Fire Serie B Robusto,27.0,Serie V,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,fuzzy_priority,2025-10-26T20:07:20.449707
Fox Cigar,https://foxcigar.com/shop/accessories/fox-gunmetal-vertigo-sable-lighter-with-v-cut/,Fox Gunmetal Vertigo Saber Lighter with V-cut,29.99,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:22.678209
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-churchill-natural-shade-grown/,Arturo Fuente Churchill Natural Shade Grown,8.4,Arturo Fuente,Rare Pink,Churchill,Natural,,,Out of Stock,WooCommerce,1,master_exact,2025-10-26T20:07:25.390242
Fox Cigar,https://foxcigar.com/shop/cigars/gran-habano/gran-habano-persian-queen-gryphon/,Gran Habano Persian Queen Gryphon,9.12,Unknown,,Unknown,Habano,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:28.316990
Fox Cigar,https://foxcigar.com/shop/cigars/h-upmann/h-upmann-1844-classic-robusto/,H. Upmann 1844 Classic Robusto,8.63,Unknown,,Robusto,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:07:30.876460
